ISO_A3,Name,Average,Median
ABW,Aruba (Neth.),4.96,4.99
AFG,Afghanistan,5.02,5.09
AGO,Angola,4.66,4.72
ALB,Albania,4.04,4.06
AND,Andorra,4.2,4.25
ARE,United Arab Emirates,5,5.01
ARG,Argentina,4.6,4.48
ARM,Armenia,4.11,4.18
ASM,American Samoa (U.S.),3.98,3.94
ATG,Antigua and Barbuda,4.77,4.78
AUS,Australia,4.71,4.73
AUT,Austria,3.26,3.22
AZE,Azerbaijan,3.82,3.79
BDI,Burundi,4.17,4.18
BEL,Belgium,2.92,2.92
BEN,Benin,4.2,4.31
BFA,Burkina Faso,4.57,4.58
BGD,Bangladesh,3.88,3.87
BGR,Bulgaria,3.7,3.69
BHR,Bahrain,4.87,4.87
BHS,The Bahamas,4.55,4.53
BIH,Bosnia and Herzegovina,3.57,3.45
BLR,Belarus,2.95,2.96
BLZ,Belize,4.18,4.17
BMU,Bermuda (U.K.),4.18,4.19
BOL,Bolivia,4.94,4.38
BRA,Brazil,4.4,4.42
BRB,Barbados,4.72,4.71
BRN,Brunei Darussalam,3.9,3.88
BTN,Bhutan,3.92,3.88
BWA,Botswana,5.11,5.11
CAF,Central African Republic,4.47,4.47
CAN,Canada,3.82,3.78
CHE,Switzerland,3.36,3.31
CHL,Chile,5.36,5.78
CHN,China,3.88,3.95
CIV,Côte d'Ivoire,4,3.95
CMR,Cameroon,4.28,4.46
COD,Democratic Republic of Congo,4.26,4.23
COG,Congo,3.77,3.86
COL,Colombia,4.05,4.1
COM,Comoros,4.29,4.28
CPV,Cabo Verde,4.68,4.73
CRI,Costa Rica,4.09,4.17
CUB,Cuba,4.54,4.53
CUW,Curaçao (Neth.),4.83,4.84
CYM,Cayman Islands (U.K.),4.63,4.61
CYP,Cyprus,4.7,4.71
CZE,Czech Republic,3.05,3.05
DEU,Germany,2.96,2.94
DJI,Djibouti,4.8,4.82
DMA,Dominica,3.97,3.91
DNK,Denmark,2.84,2.84
DOM,Dominican Republic,4.57,4.54
DZA,Algeria,4.92,5
ECU,Ecuador,3.4,3.31
EGY,Arab Republic of Egypt,5.25,5.3
ERI,Eritrea,4.89,5
ESP,Spain,4.41,4.49
EST,Estonia,2.84,2.82
ETH,Ethiopia,4.7,4.73
FJI,Fiji,3.82,3.82
FRA,France,3.39,3.33
FSM,Federated States of Micronesia,3.89,3.96
GAB,Gabon,3.6,3.58
GBR,United Kingdom,2.61,2.62
GEO,Georgia,3.71,3.76
GHA,Ghana,4.02,4.02
GIN,Guinea,4.44,4.46
GMB,The Gambia,4.57,4.56
GNB,Guinea-Bissau,4.46,4.47
GNQ,Equatorial Guinea,3.67,3.69
GRC,Greece,4.14,4.09
GRD,Grenada,4.45,4.45
GTM,Guatemala,4.39,4.31
GUM,Guam (U.S.),4.53,4.55
GUY,Guyana,4.2,4.18
HKG,"Hong Kong, SAR",3.27,3.28
HND,Honduras,4.26,4.21
HRV,Croatia,3.63,3.49
HTI,Haiti,4.68,4.72
HUN,Hungary,3.44,3.45
IDN,Indonesia,3.77,3.68
IMN,Isle of Man (U.K.),2.76,2.77
IND,India,4.32,4.35
IRL,Ireland,2.51,2.51
IRN,Islamic Republic of Iran,4.92,4.93
IRQ,Iraq,4.68,4.63
ISR,Israel,5.08,5.1
ITA,Italy,3.99,3.99
JAM,Jamaica,4.39,4.37
JOR,Jordan,5.32,5.28
JPN,Japan,3.45,3.46
KAZ,Kazakhstan,3.69,3.64
KEN,Kenya,4.5,4.43
KGZ,Kyrgyz Republic,4.11,4.07
KHM,Cambodia,4.13,4.14
KIR,Kiribati,4.82,4.84
KNA,Saint Kitts and Nevis,4.65,4.7
KOR,Republic of Korea,3.82,3.83
KWT,Kuwait,4.82,4.82
LAO,Lao People's Democratic Republic,3.87,3.91
LBN,Lebanon,4.83,4.89
LBR,Liberia,3.88,3.9
LBY,Libya,5.12,5.18
LCA,Saint Lucia,4.52,4.55
LIE,Liechtenstein,3.25,3.27
LKA,Sri Lanka,4.21,4.22
LSO,Lesotho,5.13,5.14
LTU,Lithuania,2.87,2.87
LUX,Luxembourg,2.95,2.95
LVA,Latvia,2.85,2.85
MAC,"Macau, SAR",3.4,3.42
MAR,Morocco,5.01,5.04
MDA,Moldova,3.45,3.44
MDG,Madagascar,4.76,4.92
MDV,Maldives,4.44,4.44
MEX,Mexico,4.92,5.07
MHL,Marshall Islands,4.24,4.21
MKD,North Macedonia,3.88,3.9
MLI,Mali,4.68,4.66
MLT,Malta,4.56,4.56
MMR,Myanmar,4.14,4.15
MNE,Montenegro,3.82,3.88
MNG,Mongolia,4.76,4.8
MNP,Northern Mariana Islands (U.S.),4.65,4.67
MOZ,Mozambique,4.44,4.43
MRT,Mauritania,4.75,4.7
MUS,Mauritius,4.21,4.25
MWI,Malawi,4.6,4.62
MYS,Malaysia,3.74,3.73
NAM,Namibia,5.38,5.4
NCL,New Caledonia (Fr.),3.98,3.98
NER,Niger,4.84,4.81
NGA,Nigeria,4.3,4.38
NIC,Nicaragua,4.11,4
NLD,Netherlands,2.86,2.86
NOR,Norway,2.76,2.8
NPL,Nepal,4,3.91
NRU,Nauru,4.65,4.65
NZL,New Zealand,3.68,3.67
OMN,Oman,5.17,5.14
PAK,Pakistan,4.71,4.67
PAN,Panama,3.97,3.98
PER,Peru,4.9,5.02
PHL,Philippines,3.93,3.93
PLW,Palau,4.01,4.01
PNG,Papua New Guinea,3.69,3.67
